X,Y,osm_id,code,fclass,year
115.7682478,40.1754465,1060244515,2950,tower,2014
115.7857332,40.1936469,1060244646,2950,tower,2014
115.8060845,40.1878741,1060244653,2950,tower,2014
115.7966614,40.192542,1060244866,2950,tower,2014
115.7826464,40.185344,1060244940,2950,tower,2014
115.8219864,40.1838293,1060244945,2950,tower,2014
115.7863286,40.1942534,1060244986,2950,tower,2014
115.7495995,40.1627285,1060245090,2950,tower,2014
115.8121322,40.1847134,1060245211,2950,tower,2014
115.7959578,40.192797,1060245275,2950,tower,2014
115.8101551,40.1760339,1060245308,2950,tower,2014
115.7803046,40.1805917,1060245384,2950,tower,2014
115.8086951,40.1768118,1060245426,2950,tower,2014
115.7723433,40.1766819,1060245536,2950,tower,2014
115.7824072,40.1862608,1060245614,2950,tower,2014
115.7918252,40.1938755,1060245632,2950,tower,2014
115.8017906,40.1915955,1060245654,2950,tower,2014
115.8229647,40.1828705,1060245739,2950,tower,2014
115.802868,40.1801987,1060245860,2950,tower,2014
115.7818509,40.1885446,1060245913,2950,tower,2014
115.784082,40.177843,1060246071,2950,tower,2014
115.8252688,40.1791518,1060246142,2950,tower,2014
115.7810474,40.1790063,1060246148,2950,tower,2014
115.8217657,40.1842722,1060246155,2950,tower,2014
115.7789843,40.1767879,1060246184,2950,tower,2014
115.8000666,40.1765512,1060246201,2950,tower,2014
115.7824908,40.1859383,1060246223,2950,tower,2014
115.7622845,40.1644737,1060246252,2950,tower,2014
115.785352,40.1935845,1060246284,2950,tower,2014
115.7862108,40.1980179,1061531869,2950,tower,2014
115.7858052,40.1994387,1061531908,2950,tower,2014
115.7857277,40.1970019,1061531943,2950,tower,2014
115.7837295,40.20471,1061559456,2950,tower,2014
115.7839468,40.2044666,1061559459,2950,tower,2014
115.7852302,40.2000571,1061559508,2950,tower,2014
115.7845785,40.2029071,1061559550,2950,tower,2014
115.7848743,40.2087989,1061559570,2950,tower,2014
115.7829629,40.2064785,1061559578,2950,tower,2014
115.7829656,40.2062142,1061559635,2950,tower,2014
115.7847524,40.2085135,1061559777,2950,tower,2014
115.7820957,40.2054542,1061559849,2950,tower,2014
115.7834961,40.2072815,1061560159,2950,tower,2014
115.7873881,40.2124954,1061560220,2950,tower,2014
115.7867618,40.210477,1061560240,2950,tower,2014
115.7855672,40.1998268,1061560296,2950,tower,2014
115.787238,40.2106707,1061560303,2950,tower,2014
115.7927387,40.2201165,1062623293,2950,tower,2014
115.8002689,40.2272594,1062623508,2950,tower,2014
115.787882,40.2472875,1062623556,2950,tower,2014
115.7896842,40.2439647,1062623622,2950,tower,2014
115.8007038,40.2284434,1062623757,2950,tower,2014
115.7913793,40.2425903,1062623939,2950,tower,2014
115.7894447,40.2194842,1062624041,2950,tower,2014
115.7984803,40.2221894,1062624125,2950,tower,2014
115.7922358,40.2414078,1062624186,2950,tower,2014
115.7978161,40.2382849,1062624413,2950,tower,2014
115.7892592,40.2452722,1062624481,2950,tower,2014
115.7879209,40.2151134,1062624578,2950,tower,2014
115.8007701,40.2307815,1062624736,2950,tower,2014
115.7940292,40.2406082,1062624772,2950,tower,2014
115.7984633,40.2234223,1062624801,2950,tower,2014
115.7985214,40.2240052,1062624961,2950,tower,2014
115.8015179,40.2328187,1062624997,2950,tower,2014
115.7939424,40.2210937,1062625094,2950,tower,2014
115.8020272,40.2317004,1062625369,2950,tower,2014
115.7938535,40.2201303,1062626092,2950,tower,2014
115.8002688,40.2377523,1062626102,2950,tower,2014
115.7964178,40.2216499,1062626139,2950,tower,2014
115.8005721,40.2360174,1062626192,2950,tower,2014
115.787687,40.2160269,1062626200,2950,tower,2014
115.7989792,40.2255415,1062626232,2950,tower,2014
115.7963642,40.2388074,1062626350,2950,tower,2014
115.7868389,40.2182548,1062626447,2950,tower,2014
115.8002218,40.2343097,1062626701,2950,tower,2014
115.7902471,40.2193064,1062626716,2950,tower,2014
115.7965605,40.2608652,1062685035,2950,tower,2014
115.8178399,40.2472265,1062685084,2950,tower,2014
115.8119871,40.2526632,1062685623,2950,tower,2014
115.7889149,40.2507147,1062685838,2950,tower,2014
115.8153508,40.2500499,1062685870,2950,tower,2014
115.8075128,40.2581813,1062686179,2950,tower,2014
115.8118699,40.2545092,1062686374,2950,tower,2014
115.805351,40.2579462,1062686580,2950,tower,2014
115.7910711,40.256145,1062686616,2950,tower,2014
115.7906672,40.2547448,1062686733,2950,tower,2014
115.7899113,40.2531527,1062687007,2950,tower,2014
115.8209194,40.2486424,1062687096,2950,tower,2014
115.8073901,40.2576912,1062687239,2950,tower,2014
115.7897166,40.2520521,1062687334,2950,tower,2014
115.8129766,40.2524376,1062687431,2950,tower,2014
115.8069667,40.2574622,1062687438,2950,tower,2014
115.7904279,40.2555481,1062687569,2950,tower,2014
