X,Y,osm_id,code,fclass,year,
121.6164271,31.2072759,3538684971,2401,hotel,2017,
121.6162677,31.2071006,3538684972,2528,greengrocer,,
121.6118792,31.2026119,3538689822,2561,hairdresser,2017,
121.6127158,31.2061428,3538763552,2501,supermarket,,
121.6133012,31.205605,3538780706,2601,bank,2017,
121.6081687,31.2069423,3538790839,2005,post_office,2017,
121.4997279,31.0972449,3543796519,2501,supermarket,,
121.4993214,31.0969977,3543796520,2203,cinema,2017,
121.4992482,31.0973458,3543796521,2301,restaurant,,
121.4996059,31.0970256,3543796522,2302,fast_food,,
121.4990571,31.0971056,3543796523,2302,fast_food,,
121.4989555,31.0973946,3543796524,2301,restaurant,2017,
121.4995328,31.0975582,3543796525,2301,restaurant,2017,
121.4994758,31.0973006,3543796526,2301,restaurant,2017,
121.4991425,31.0968967,3543796527,2302,fast_food,,
121.2268824,31.031848,3553567838,2901,toilet,2017,
121.1909969,31.03492,3553784496,2721,attraction,,
121.4683118,31.1938072,3557819294,2401,hotel,2017,
121.4699235,31.193568,3557819794,2303,cafe,2017,
121.4687032,31.1945008,3557819896,2504,mall,,
121.4790597,31.2019145,3559961023,2002,fire_station,,
121.4783053,31.2038331,3559962138,2502,bakery,2017,
121.4680789,31.1945052,3560092895,2303,cafe,2017,
121.2147353,31.0362222,3564660745,2901,toilet,2017,
121.4876194,31.2471336,3569237119,2303,cafe,2017,
121.1715045,31.2814229,3574551565,2721,attraction,2017,
121.1696975,31.2803888,3574551566,2721,attraction,2017,
121.1704986,31.2813448,3574551567,2721,attraction,2017,
121.1708827,31.2821113,3574553498,2742,viewpoint,2017,
121.1704832,31.2816898,3574553562,2721,attraction,2017,
121.1704772,31.281898,3574553563,2721,attraction,2017,
121.1740048,31.2802723,3577065726,2721,attraction,2017,
121.1720754,31.2829444,3577065727,2721,attraction,2017,
121.1748205,31.2812361,3577065790,2901,toilet,2017,
121.1744025,31.281824,3577066208,2701,tourist_info,2017,
121.1742526,31.2819922,3577066214,2301,restaurant,2017,
121.172771,31.2834754,3577066436,2901,toilet,2017,
121.1742526,31.2813499,3577066449,2701,tourist_info,2017,
121.2321101,31.0109802,3578219048,2901,toilet,2017,
121.2320537,31.0129549,3578219049,2001,police,2017,
121.2155597,31.0351321,3585139393,2901,toilet,2017,
121.168443,31.303411,3594186001,2002,fire_station,2017,
121.4155433,31.2136558,3596857613,2405,hostel,2017,
121.1814728,31.0436704,3600022878,2901,toilet,2017,
121.2082329,31.0516542,3604599370,2901,toilet,2017,
121.3896801,31.1893043,3608189752,2301,restaurant,2017,
121.3848567,31.193533,3608382858,2301,restaurant,2017,
121.4645476,31.2290405,3609090494,2401,hotel,2017,
121.3809893,31.1929766,3610298458,2301,restaurant,2017,
121.3825782,31.1931635,3610298459,2301,restaurant,2017,
121.3834959,31.1932026,3610298460,2304,pub,2017,
121.3822979,31.193118,3610298461,2305,bar,2017,
121.3832205,31.1932847,3610298462,2301,restaurant,2017,
121.3834701,31.1933196,3610298463,2301,restaurant,2017,
121.3815077,31.1930533,3610298464,2301,restaurant,2017,
121.3841319,31.1934315,3610298465,2301,restaurant,2017,
121.3846748,31.1935128,3610298466,2301,restaurant,2017,
121.3836425,31.1932399,3610298467,2304,pub,2017,
121.3806887,31.1929873,3610298468,2528,greengrocer,2017,
121.3821522,31.1930964,3610298473,2301,restaurant,2017,
121.3878488,31.2017208,3610346843,2302,fast_food,2017,
121.3926619,31.1903044,3610518704,2303,cafe,2017,
121.3921079,31.1901378,3610518732,2511,convenience,2017,
121.5422201,31.2442697,3610811603,2110,hospital,2017,
121.2358721,31.0310761,3613649326,2301,restaurant,2017,
121.3992248,31.1964469,3618113991,2301,restaurant,2017,
121.4028798,31.1932784,3618113992,2301,restaurant,2017,
121.3903223,31.1843129,3618114493,2401,hotel,2017,
121.3963737,31.1938671,3618114498,2082,school,2017,
121.3951534,31.1972664,3618114499,2301,restaurant,2017,
121.4019128,31.1908732,3618114500,2082,school,2017,
121.3905653,31.183581,3618114501,2301,restaurant,2017,
121.4025951,31.204126,3621535732,2301,restaurant,2017,
121.4028045,31.2040204,3621535733,2301,restaurant,2017,
121.4029799,31.2041339,3621535734,2301,restaurant,2017,
121.4032722,31.2041513,3621535735,2304,pub,2017,
121.4033281,31.2042369,3621535736,2301,restaurant,2017,
121.4596762,31.2150483,3622473028,2401,hotel,2017,
121.462997,31.2086017,3622495775,2504,mall,2017,
121.4539791,31.2128653,3622503139,2305,bar,2017,
121.4414897,31.2112057,3622507246,2305,bar,2017,
121.455474,31.2305102,3622521454,2305,bar,2017,
121.4633179,31.2109318,3622522055,2721,attraction,2017,
121.444326,31.2113991,3622531505,2301,restaurant,2017,
121.4375458,31.2315331,3622538162,2305,bar,2017,
121.464297,31.2173282,3625078069,2301,restaurant,2017,
121.4593765,31.2161211,3634058015,2301,restaurant,2017,
121.4590427,31.2162801,3634082292,2301,restaurant,2017,
121.2203378,31.0367312,3636049441,2901,toilet,2017,
121.2092325,31.0412447,3638271792,2601,bank,,
121.2085511,31.0412144,3638272493,2601,bank,2017,
121.2080897,31.0414028,3638272494,2601,bank,2017,
121.2067594,31.0412006,3638272495,2601,bank,2017,
121.2063409,31.0412098,3638272496,2601,bank,2017,
121.2041737,31.0411776,3638272497,2601,bank,2017,
121.2040932,31.0405939,3638272498,2601,bank,2017,
121.2037982,31.0405893,3638272499,2601,bank,2017,
121.2094362,31.0412512,3638272500,2601,bank,2017,
121.2101443,31.0412328,3638272501,2601,bank,2017,
121.2144928,31.0348602,3638272502,2601,bank,2017,
